
---------- Begin Simulation Statistics ----------
simSeconds                                   0.069842                       # Number of seconds simulated (Second)
simTicks                                  69841996156                       # Number of ticks simulated (Tick)
finalTick                                 69841996156                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    710.03                       # Real time elapsed on the host (Second)
hostTickRate                                 98364488                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16979936                       # Number of bytes of host memory used (Byte)
simInsts                                    157181155                       # Number of instructions simulated (Count)
simOps                                      181430280                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221372                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     255524                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           556                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        125615102                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.799174                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.251292                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       275222361                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    36752                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      220847003                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 131592                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             93828832                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         301129165                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 163                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           125394270                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.761221                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.839076                       # Number of insts issued each cycle (Count)
system.cpu.icache.tags.ageTaskId_1024::4          178                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses          126845555                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses         126845555                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                   3178254                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                   15938613                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                  1513288                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts              275259117                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts               313922                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                 20734095                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                20000933                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                 36645                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                    119791                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                  1340797                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents           6644                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect        1670122                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect      1742289                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts              3412411                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                213179351                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount               212940002                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                 138998298                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                 370831158                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        1.695178                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.374829                       # Average fanout of values written-back ((Count/Count))
system.cpu.lsq0.forwLoads                      655595                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                 6757340                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                 2523                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                6644                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                5599926                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads              1871876                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                  81790                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples           13976755                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean             10.716386                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev            39.476807                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9               13031713     93.24%     93.24% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::10-19               178952      1.28%     94.52% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29                89599      0.64%     95.16% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39                10395      0.07%     95.23% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::40-49                 6422      0.05%     95.28% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59                 7970      0.06%     95.34% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69                14211      0.10%     95.44% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79                24344      0.17%     95.61% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89                37857      0.27%     95.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99                68218      0.49%     96.37% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109             138793      0.99%     97.37% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119             106183      0.76%     98.12% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129              24428      0.17%     98.30% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139              21200      0.15%     98.45% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149               9694      0.07%     98.52% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159               8751      0.06%     98.58% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169              17500      0.13%     98.71% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179               8377      0.06%     98.77% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189               8121      0.06%     98.83% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199              14826      0.11%     98.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209              20946      0.15%     99.08% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219              13982      0.10%     99.18% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229               9707      0.07%     99.25% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239              10637      0.08%     99.33% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249               7623      0.05%     99.38% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259               6610      0.05%     99.43% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269               8227      0.06%     99.49% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279               9505      0.07%     99.56% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::280-289               7383      0.05%     99.61% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299               9186      0.07%     99.68% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows            45395      0.32%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                1                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value             1222                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total             13976755                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.addedLoadsAndStores          40735028                       # Number of loads and stores written to the Load Store Queue (Count)
system.cpu.mmu.alignFaults                          0                       # Number of MMU faults due to alignment restrictions (Count)
system.cpu.mmu.prefetchFaults                       0                       # Number of MMU faults due to prefetch (Count)
system.cpu.mmu.domainFaults                         0                       # Number of MMU faults due to domain restrictions (Count)
system.cpu.mmu.permsFaults                          0                       # Number of MMU faults due to permissions restrictions (Count)
system.cpu.mmu.dtb.readHits                         0                       # Read hits (Count)
system.cpu.mmu.dtb.readMisses                       0                       # Read misses (Count)
system.cpu.mmu.dtb.writeHits                        0                       # Write hits (Count)
system.cpu.mmu.dtb.writeMisses                      0                       # Write misses (Count)
system.cpu.mmu.dtb.inserts                          0                       # Number of times an entry is inserted into the TLB (Count)
system.cpu.mmu.dtb.flushTlb                         0                       # Number of times a TLB invalidation was requested (Count)
system.cpu.mmu.dtb.flushedEntries                   0                       # Number of entries that have been flushed from TLB (Count)
system.cpu.mmu.dtb.readAccesses                     0                       # Read accesses (Count)
system.cpu.mmu.dtb.writeAccesses                    0                       # Write accesses (Count)
system.cpu.mmu.dtb.hits                             0                       # Total TLB (inst and data) hits (Count)
system.cpu.mmu.dtb.misses                           0                       # Total TLB (inst and data) misses (Count)
system.cpu.mmu.dtb.accesses                         0                       # Total TLB (inst and data) accesses (Count)
system.cpu.mmu.dtb_walker.walks                     0                       # Table walker walks requested (Count)
system.cpu.mmu.dtb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.dtb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.dtb_walker.requestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.dtb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.dtb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.dtb_walker.requestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.dtb_walker.requestOrigin::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.dtb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.instHits                         0                       # Inst hits (Count)
system.cpu.mmu.itb.instMisses                       0                       # Inst misses (Count)
system.cpu.mmu.itb.inserts                          0                       # Number of times an entry is inserted into the TLB (Count)
system.cpu.mmu.itb.flushTlb                         0                       # Number of times a TLB invalidation was requested (Count)
system.cpu.mmu.itb.flushedEntries                   0                       # Number of entries that have been flushed from TLB (Count)
system.cpu.mmu.itb.instAccesses                     0                       # Inst accesses (Count)
system.cpu.mmu.itb.hits                             0                       # Total TLB (inst and data) hits (Count)
system.cpu.mmu.itb.misses                           0                       # Total TLB (inst and data) misses (Count)
system.cpu.mmu.itb.accesses                         0                       # Total TLB (inst and data) accesses (Count)
system.cpu.mmu.itb_walker.walks                     0                       # Table walker walks requested (Count)
system.cpu.mmu.itb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.itb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.itb_walker.requestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.itb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.itb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.itb_walker.requestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.itb_walker.requestOrigin::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.itb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.l2_shared.instHits                   0                       # Inst hits (Count)
system.cpu.mmu.l2_shared.instMisses                 0                       # Inst misses (Count)
system.cpu.mmu.l2_shared.inserts                    0                       # Number of times an entry is inserted into the TLB (Count)
system.cpu.mmu.l2_shared.flushTlb                   0                       # Number of times a TLB invalidation was requested (Count)
system.cpu.mmu.l2_shared.flushedEntries             0                       # Number of entries that have been flushed from TLB (Count)
system.cpu.mmu.l2_shared.instAccesses               0                       # Inst accesses (Count)
system.cpu.mmu.l2_shared.hits                       0                       # Total TLB (inst and data) hits (Count)
system.cpu.mmu.l2_shared.misses                     0                       # Total TLB (inst and data) misses (Count)
system.cpu.mmu.l2_shared.accesses                   0                       # Total TLB (inst and data) accesses (Count)
system.cpu.mmu.stage2_dtb.readHits                  0                       # Read hits (Count)
system.cpu.mmu.stage2_dtb.readMisses                0                       # Read misses (Count)
system.cpu.mmu.stage2_dtb.writeHits                 0                       # Write hits (Count)
system.cpu.mmu.stage2_dtb.writeMisses               0                       # Write misses (Count)
system.cpu.mmu.stage2_dtb.inserts                   0                       # Number of times an entry is inserted into the TLB (Count)
system.cpu.mmu.stage2_dtb.flushTlb                  0                       # Number of times a TLB invalidation was requested (Count)
system.cpu.mmu.stage2_dtb.flushedEntries            0                       # Number of entries that have been flushed from TLB (Count)
system.cpu.mmu.stage2_dtb.readAccesses              0                       # Read accesses (Count)
system.cpu.mmu.stage2_dtb.writeAccesses             0                       # Write accesses (Count)
system.cpu.mmu.stage2_dtb.hits                      0                       # Total TLB (inst and data) hits (Count)
system.cpu.mmu.stage2_dtb.misses                    0                       # Total TLB (inst and data) misses (Count)
system.cpu.mmu.stage2_dtb.accesses                  0                       # Total TLB (inst and data) accesses (Count)
system.cpu.mmu.stage2_dtb_walker.walks              0                       # Table walker walks requested (Count)
system.cpu.mmu.stage2_dtb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_dtb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_dtb_walker.requestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_dtb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_dtb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_dtb_walker.requestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_dtb_walker.requestOrigin::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_dtb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.stage2_itb.instHits                  0                       # Inst hits (Count)
system.cpu.mmu.stage2_itb.instMisses                0                       # Inst misses (Count)
system.cpu.mmu.stage2_itb.inserts                   0                       # Number of times an entry is inserted into the TLB (Count)
system.cpu.mmu.stage2_itb.flushTlb                  0                       # Number of times a TLB invalidation was requested (Count)
system.cpu.mmu.stage2_itb.flushedEntries            0                       # Number of entries that have been flushed from TLB (Count)
system.cpu.mmu.stage2_itb.instAccesses              0                       # Inst accesses (Count)
system.cpu.mmu.stage2_itb.hits                      0                       # Total TLB (inst and data) hits (Count)
system.cpu.mmu.stage2_itb.misses                    0                       # Total TLB (inst and data) misses (Count)
system.cpu.mmu.stage2_itb.accesses                  0                       # Total TLB (inst and data) accesses (Count)
system.cpu.mmu.stage2_itb_walker.walks              0                       # Table walker walks requested (Count)
system.cpu.mmu.stage2_itb_walker.requestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_itb_walker.requestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_itb_walker.requestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_itb_walker.requestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_itb_walker.requestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_itb_walker.requestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_itb_walker.requestOrigin::total            0                       # Table walker requests started/completed, data/inst (Count)
system.cpu.mmu.stage2_itb_walker.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                3178254                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                 38339741                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                18478746                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles        2505326                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                  49464832                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles              13427371                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts              293443035                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                 90125                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                8393755                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                 759656                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                3548338                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands           416516108                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                  1393923093                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                413358762                       # Number of integer rename lookups (Count)
system.cpu.rename.vecLookups                       16                       # Number of vector rename lookups (Count)
system.cpu.rename.committedMaps             256362416                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                160153692                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                  218635                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing               36728                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                  20192489                       # count of insts added to the skid buffer (Count)
system.cpu.rename.intReturned               137030633                       # count of registers freed and written back to integer free list (Count)
system.cpu.rob.reads                        381872772                       # The number of ROB reads (Count)
system.cpu.rob.writes                       564172007                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                157181155                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                  181430280                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                   105                       # Number of system calls (Count)
system.l2bus.transDist::ReadResp               215813                       # Transaction distribution (Count)
system.l2bus.transDist::WritebackDirty         253501                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict             318565                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeReq                  1                       # Transaction distribution (Count)
system.l2bus.transDist::SCUpgradeReq                1                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeResp                 2                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq              109346                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp             109346                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq          215813                       # Transaction distribution (Count)
system.l2bus.pktCount_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port        20250                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port       953948                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                   974198                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port       448384                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port     29517760                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize::total                  29966144                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.snoops                            248190                       # Total snoops (Count)
system.l2bus.snoopTraffic                     7068096                       # Total snoop traffic (Byte)
system.l2bus.snoopFanout::samples              573350                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::mean               0.006101                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::stdev              0.078072                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::underflows                0      0.00%      0.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::0                    569861     99.39%     99.39% # Request fanout histogram (Count)
system.l2bus.snoopFanout::1                      3480      0.61%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::2                         9      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::overflows                 0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::min_value                 0                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::max_value                 2                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::total                573350                       # Request fanout histogram (Count)
system.l2bus.power_state.pwrStateResidencyTicks::UNDEFINED  69841996156                       # Cumulative time (in ticks) in various power states (Tick)
system.l2bus.reqLayer0.occupancy            519951184                       # Layer occupancy (ticks) (Tick)
system.l2bus.reqLayer0.utilization                0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer0.occupancy            11691006                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer0.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer1.occupancy           530695298                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer1.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.snoop_filter.totRequests          649038                       # Total number of requests made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleRequests       323889                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiRequests          667                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2bus.snoop_filter.totSnoops              2810                       # Total number of snoops made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleSnoops         2801                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiSnoops            9                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2cache.demandHits::cpu.inst              2907                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::cpu.data             57724                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::total                60631                       # number of demand (read+write) hits (Count)
system.l2cache.overallHits::cpu.inst             2907                       # number of overall hits (Count)
system.l2cache.overallHits::cpu.data            57724                       # number of overall hits (Count)
system.l2cache.overallHits::total               60631                       # number of overall hits (Count)
system.l2cache.demandMisses::cpu.inst            4099                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::cpu.data          260428                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total             264527                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst           4099                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data         260428                       # number of overall misses (Count)
system.l2cache.overallMisses::total            264527                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst    290259244                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data  18974893336                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total   19265152580                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst    290259244                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data  18974893336                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total  19265152580                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst          7006                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data        318152                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total           325158                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst         7006                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data       318152                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total          325158                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.585070                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.818565                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.813534                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.585070                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.818565                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.813534                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 70812.208831                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::cpu.data 72860.419525                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::total 72828.681307                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.inst 70812.208831                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.data 72860.419525                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::total 72828.681307                       # average overall miss latency ((Tick/Count))
system.l2cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l2cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.writebacks::writebacks          110438                       # number of writebacks (Count)
system.l2cache.writebacks::total               110438                       # number of writebacks (Count)
system.l2cache.demandMshrHits::cpu.inst             2                       # number of demand (read+write) MSHR hits (Count)
